fid,id,cod_ine_mu,cod_ine__1,cod_catast,nom_mun,nom_mun_ca,nom_mun__1,nom_mun_va,nom_mun__2,noms_mun,comarca,provincia,perimetro,area_ha,coord_x,coord_y
1,"188","03004","030041","03004",Aigües,Aigües,Aigües,Aigües,Aigües,Aigües,l'Alacantí,Alacant/Alicante,20627.299999999999272,1847.970000000000027,729898.674500,4265705.222000
2,"15","03005","030054","03005",Albatera,Albatera,Albatera,Albatera,Albatera,Albatera,el Baix Segura/La Vega Baja,Alacant/Alicante,34606.000000000000000,6154.510000000000218,684554.631500,4231875.169000
3,"334","03006","030067","03006",Alcalalí,Alcalalí,Alcalalí,Alcalalí,Alcalalí,Alcalalí,la Marina Alta,Alacant/Alicante,21793.400000000001455,1437.509999999999991,757996.814900,4293875.763000
4,"23","03007","030073","03007",Alcosser,Alcosser,Alcosser,Alcosser,Alcosser,Alcosser,el Comtat,Alacant/Alicante,9166.399999999999636,438.930000000000007,725748.018600,4297246.061000
5,"206","03008","030089","03008",Alcoleja,Alcoleja,Alcoleja,Alcoleja,Alcoleja,Alcoleja,el Comtat,Alacant/Alicante,19205.599999999998545,1456.769999999999982,732526.063000,4282979.899000
6,"430","03009","030092","03009",Alcoi,Alcoy,Alcoy,Alcoi,Alcoi,Alcoi/Alcoy,l'Alcoià,Alacant/Alicante,58850.599999999998545,13000.090000000000146,716019.327900,4284443.587000
7,"118","03011","030113","03011",l'Alfàs del Pi,l'Alfàs del Pi,"Alfàs del Pi, l'",l'Alfàs del Pi,"Alfàs del Pi, l'",l'Alfàs del Pi,la Marina Baixa,Alacant/Alicante,22985.000000000000000,1978.289999999999964,753603.504300,4274007.583000
8,"194","03012","030128","03012",Algorfa,Algorfa,Algorfa,Algorfa,Algorfa,Algorfa,el Baix Segura/La Vega Baja,Alacant/Alicante,29364.099999999998545,1847.329999999999927,694166.031500,4215235.108000
9,"52","03015","030152","03015",Almoradí,Almoradí,Almoradí,Almoradí,Almoradí,Almoradí,el Baix Segura/La Vega Baja,Alacant/Alicante,53892.500000000000000,4265.300000000000182,693721.856200,4216114.094000
10,"82","03017","030171","03017",l'Alqueria d'Asnar,l'Alqueria d'Asnar,"Alqueria d'Asnar, l'",l'Alqueria d'Asnar,"Alqueria d'Asnar, l'",l'Alqueria d'Asnar,el Comtat,Alacant/Alicante,9558.000000000000000,108.430000000000007,724245.787500,4294445.086000
11,"378","03019","030190","03019",Aspe,Aspe,Aspe,Aspe,Aspe,Aspe,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,38449.500000000000000,7052.229999999999563,693566.033500,4244713.501000
12,"208","03023","030232","03023",Beneixama,Beneixama,Beneixama,Beneixama,Beneixama,Beneixama,l’Alt Vinalopó/El Alto Vinalopó,Alacant/Alicante,26684.500000000000000,3489.289999999999964,694680.570500,4288327.018000
13,"426","03024","030247","03024",Benejúzar,Benejúzar,Benejúzar,Benejúzar,Benejúzar,Benejúzar,el Baix Segura/La Vega Baja,Alacant/Alicante,15598.500000000000000,932.840000000000032,690169.501800,4216208.126000
14,"127","03029","030298","03029",Benigembla,Benigembla,Benigembla,Benigembla,Benigembla,Benigembla,la Marina Alta,Alacant/Alicante,17574.099999999998545,1846.859999999999900,750657.139000,4292636.178000
15,"371","03030","030302","03030",Benidoleig,Benidoleig,Benidoleig,Benidoleig,Benidoleig,Benidoleig,la Marina Alta,Alacant/Alicante,13116.700000000000728,748.529999999999973,758211.652300,4297926.812000
16,"183","03032","030324","03032",Benifallim,Benifallim,Benifallim,Benifallim,Benifallim,Benifallim,l'Alcoià,Alacant/Alicante,18209.000000000000000,1369.450000000000045,725229.806900,4281667.068000
17,"478","03035","030358","03035",Benilloba,Benilloba,Benilloba,Benilloba,Benilloba,Benilloba,el Comtat,Alacant/Alicante,16497.000000000000000,954.259999999999991,726459.689100,4287336.331000
18,"72","03037","030377","03037",Benimantell,Benimantell,Benimantell,Benimantell,Benimantell,Benimantell,la Marina Baixa,Alacant/Alicante,42162.199999999997090,3795.289999999999964,743454.406500,4281165.264000
19,"210","03042","030422","03042",el Poble Nou de Benitatxell,Benitachell,Benitachell,el Poble Nou de Benitatxell,"Poble Nou de Benitatxell, el",el Poble Nou de Benitatxell/Benitachell,la Marina Alta,Alacant/Alicante,17629.299999999999272,1269.869999999999891,773732.236700,4290924.962000
20,"22","03043","030438","03043",Biar,Biar,Biar,Biar,Biar,Biar,l’Alt Vinalopó/El Alto Vinalopó,Alacant/Alicante,40765.599999999998545,9817.979999999999563,695991.418800,4279736.215000
21,"50","03044","030443","03044",Bigastro,Bigastro,Bigastro,Bigastro,Bigastro,Bigastro,el Baix Segura/La Vega Baja,Alacant/Alicante,13446.799999999999272,409.810000000000002,684636.639000,4214586.600000
22,"528","03045","030456","03045",Bolulla,Bolulla,Bolulla,Bolulla,Bolulla,Bolulla,la Marina Baixa,Alacant/Alicante,16399.200000000000728,1358.180000000000064,750400.420800,4285740.716000
23,"104","03048","030481","03048",Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,la Marina Baixa,Alacant/Alicante,30570.000000000000000,3468.860000000000127,751987.865400,4282289.433000
24,"506","03049","030494","03049",Callosa de Segura,Callosa de Segura,Callosa de Segura,Callosa de Segura,Callosa de Segura,Callosa de Segura,el Baix Segura/La Vega Baja,Alacant/Alicante,41398.900000000001455,2490.929999999999836,686582.065900,4222840.327000
25,"415","03050","030507","03050",el Campello,el Campello,"Campello, el",el Campello,"Campello, el",el Campello,l'Alacantí,Alacant/Alicante,58040.099999999998545,5531.949999999999818,729211.161400,4260357.349000
26,"278","03057","030572","03057",Confrides,Confrides,Confrides,Confrides,Confrides,Confrides,la Marina Baixa,Alacant/Alicante,30732.700000000000728,4000.739999999999782,736901.510700,4284699.018000
27,"182","03058","030588","03058",Cox,Cox,Cox,Cox,Cox,Cox,el Baix Segura/La Vega Baja,Alacant/Alicante,35791.199999999997090,1671.009999999999991,684028.656600,4223850.719000
28,"540","03059","030591","03059",Crevillent,Crevillent,Crevillent,Crevillent,Crevillent,Crevillent,el Baix Vinalopó,Alacant/Alicante,51137.500000000000000,10456.069999999999709,691295.536500,4234106.657000
29,"510","03065","030651","03065",Elx,Elche,Elche,Elx,Elx,Elx/Elche,el Baix Vinalopó,Alacant/Alicante,92011.000000000000000,32691.750000000000000,704355.455100,4235832.727000
30,"328","03066","030664","03066",Elda,Elda,Elda,Elda,Elda,Elda,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,30495.000000000000000,4560.159999999999854,690094.634600,4260761.923000
31,"462","03067","030670","03067",Fageca,Fageca,Fageca,Fageca,Fageca,Fageca,el Comtat,Alacant/Alicante,15767.299999999999272,1018.059999999999945,736926.821800,4290515.899000
32,"369","03070","030703","03070",Formentera del Segura,Formentera del Segura,Formentera del Segura,Formentera del Segura,Formentera del Segura,Formentera del Segura,el Baix Segura/La Vega Baja,Alacant/Alicante,12947.100000000000364,435.000000000000000,698494.746100,4218691.563000
33,"166","03071","030710","03071",Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,la Marina Alta,Alacant/Alicante,20161.900000000001455,2035.009999999999991,766717.456600,4295516.091000
34,"251","03072","030725","03072",Gaianes,Gaianes,Gaianes,Gaianes,Gaianes,Gaianes,el Comtat,Alacant/Alicante,12488.600000000000364,957.549999999999955,724796.474700,4299535.395000
35,"410","03073","030731","03073",Gorga,Gorga,Gorga,Gorga,Gorga,Gorga,el Comtat,Alacant/Alicante,18985.500000000000000,911.100000000000023,728313.583300,4289219.723000
36,"248","03074","030746","03074",Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,el Baix Segura/La Vega Baja,Alacant/Alicante,41220.000000000000000,716.909999999999968,684468.714500,4225074.925000
37,"21","03075","030759","03075",el Castell de Guadalest,el Castell de Guadalest,"Castell de Guadalest, el",el Castell de Guadalest,"Castell de Guadalest, el",el Castell de Guadalest,la Marina Baixa,Alacant/Alicante,21936.900000000001455,1597.130000000000109,746344.152900,4283962.998000
38,"65","03076","030762","03076",Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,el Baix Segura/La Vega Baja,Alacant/Alicante,37859.300000000002910,3370.690000000000055,704484.214100,4217272.984000
39,"390","03078","030784","03078",Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,14918.100000000000364,1254.579999999999927,680888.530000,4237679.053000
40,"345","03083","030839","03083",Xixona,Jijona,Jijona,Xixona,Xixona,Xixona/Jijona,l'Alacantí,Alacant/Alicante,68923.500000000000000,16374.610000000000582,718759.582900,4269946.535000
41,"242","03088","030882","03088",Monforte del Cid,Monforte del Cid,Monforte del Cid,Monforte del Cid,Monforte del Cid,Monforte del Cid,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,40326.500000000000000,7954.119999999999891,701323.248800,4251046.144000
42,"539","03089","030895","03089",Monòver,Monóvar,Monóvar,Monòver,Monòver,Monòver/Monóvar,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,54857.000000000000000,15228.819999999999709,682221.725000,4255425.646000
43,"383","03090","030909","03090",Mutxamel,Mutxamel,Mutxamel,Mutxamel,Mutxamel,Mutxamel,l'Alacantí,Alacant/Alicante,34980.699999999997090,4773.520000000000437,720398.120100,4257035.429000
44,"494","03093","030937","03093",Novelda,Novelda,Novelda,Novelda,Novelda,Novelda,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,42525.199999999997090,7573.329999999999927,693337.356100,4251880.853000
45,"169","03094","030942","03094",la Nucia,la Nucia,"Nucia, la",la Nucia,"Nucia, la",la Nucia,la Marina Baixa,Alacant/Alicante,30877.799999999999272,2137.820000000000164,750780.720500,4276446.696000
46,"465","03098","030980","03098",Orxeta,Orxeta,Orxeta,Orxeta,Orxeta,Orxeta,la Marina Baixa,Alacant/Alicante,30111.200000000000728,2407.679999999999836,737042.522000,4270740.214000
47,"293","03102","031029","03102",Pego,Pego,Pego,Pego,Pego,Pego,la Marina Alta,Alacant/Alicante,33725.199999999997090,5290.989999999999782,751695.616700,4303425.729000
