id,left,top,right,bottom,row_index,col_index,name2,fire_count
1,626576.3888,4519161.349,646576.3888,4499161.349,0,0,A0,0
0,626576.3888,4499161.349,646576.3888,4479161.349,1,0,B0,0
3,626576.3888,4479161.349,646576.3888,4459161.349,2,0,C0,0
4,626576.3888,4459161.349,646576.3888,4439161.349,3,0,D0,23
5,626576.3888,4439161.349,646576.3888,4419161.349,4,0,E0,24
6,626576.3888,4419161.349,646576.3888,4399161.349,5,0,F0,0
7,626576.3888,4399161.349,646576.3888,4379161.349,6,0,G0,14
8,626576.3888,4379161.349,646576.3888,4359161.349,7,0,H0,122
9,626576.3888,4359161.349,646576.3888,4339161.349,8,0,I0,3
10,626576.3888,4339161.349,646576.3888,4319161.349,9,0,J0,0
11,626576.3888,4319161.349,646576.3888,4299161.349,10,0,K0,0
12,626576.3888,4299161.349,646576.3888,4279161.349,11,0,L0,0
13,626576.3888,4279161.349,646576.3888,4259161.349,12,0,M0,0
14,626576.3888,4259161.349,646576.3888,4239161.349,13,0,N0,0
15,626576.3888,4239161.349,646576.3888,4219161.349,14,0,O0,0
16,626576.3888,4219161.349,646576.3888,4199161.349,15,0,P0,1
17,626576.3888,4199161.349,646576.3888,4179161.349,16,0,Q0,0
18,646576.3888,4519161.349,666576.3888,4499161.349,0,1,A1,0
0,646576.3888,4499161.349,666576.3888,4479161.349,1,1,B1,0
20,646576.3888,4479161.349,666576.3888,4459161.349,2,1,C1,0
21,646576.3888,4459161.349,666576.3888,4439161.349,3,1,D1,12
22,646576.3888,4439161.349,666576.3888,4419161.349,4,1,E1,58
23,646576.3888,4419161.349,666576.3888,4399161.349,5,1,F1,89
24,646576.3888,4399161.349,666576.3888,4379161.349,6,1,G1,96
25,646576.3888,4379161.349,666576.3888,4359161.349,7,1,H1,140
26,646576.3888,4359161.349,666576.3888,4339161.349,8,1,I1,68
27,646576.3888,4339161.349,666576.3888,4319161.349,9,1,J1,58
28,646576.3888,4319161.349,666576.3888,4299161.349,10,1,K1,7
29,646576.3888,4299161.349,666576.3888,4279161.349,11,1,L1,0
30,646576.3888,4279161.349,666576.3888,4259161.349,12,1,M1,0
31,646576.3888,4259161.349,666576.3888,4239161.349,13,1,N1,0
